names and surnames,identification document,birth date,Residence Adress,work direction,state - department,Country,company,monthly income
name 1,4545378,25-12-59,direccion 1 placa 1,work direccion 3 placa 12,Quindio,Colombia,company name 1,1279850
name 2,4545385,04-01-60,direccion 2 placa 2,work direccion 4 placa 13,Risaralda,Colombia,company name 2,1291028
name 3,4545392,14-01-60,direccion 1 placa 2,work direccion 3 placa 13,Santander,Colombia,company name 3,1302206
name 4,4545399,24-01-60,direccion 2 placa 3,work direccion 4 placa 14,Atlantico,Colombia,company name 4,1313384
name 5,4545406,03-02-60,direccion 1 placa 3,work direccion 3 placa 14,Cundinamarca,Colombia,company name 5,1324562
name 6,4545413,13-02-60,direccion 2 placa 4,work direccion 4 placa 15,Valle,Colombia,company name 6,1335740
name 7,,23-02-60,direccion 1 placa 4,work direccion 3 placa 15,Meta,Colombia,company name 7,1346918
name 8,4545427,04-03-60,direccion 2 placa 5,work direccion 4 placa 16,Vichada,Colombia,company name 8,1358096
name 9,4545434,14-03-60,direccion 1 placa 5,work direccion 3 placa 16,Quindio,Colombia,company name 9,1369274
name 10,4545441,24-03-60,direccion 2 placa 6,,Risaralda,Colombia,company name 10,
name 11,4545448,03-04-60,direccion 1 placa 6,work direccion 3 placa 17,Santander,Colombia,company name 11,1391630
name 12,4545455,13-04-60,direccion 2 placa 7,work direccion 4 placa 18,Atlantico,Colombia,company name 12,1402808
name 13,4545462,23-04-60,direccion 1 placa 7,work direccion 3 placa 18,Cundinamarca,Colombia,company name 13,1413986
name 14,4545469,03-05-60,direccion 2 placa 8,work direccion 4 placa 19,Valle,Colombia,company name 14,1425164
name 15,,13-05-60,direccion 1 placa 8,,Meta,Colombia,company name 15,1436342
name 16,4545483,23-05-60,direccion 2 placa 9,work direccion 4 placa 20,Vichada,Colombia,company name 16,1447520
name 17,4545490,02-06-60,direccion 1 placa 9,work direccion 3 placa 20,Quindio,Colombia,company name 17,1458698
name 18,,12-06-60,direccion 2 placa 10,,Risaralda,Colombia,company name 18,1469876
name 19,4545504,22-06-60,direccion 1 placa 10,work direccion 3 placa 21,Santander,Colombia,company name 19,1481054
